Accession,Protein_Name,Gene_symbol,Protein_Type,Sperm_Location,Caput,NC_Cauda,CORE,NegLog10_p_value,FC
Q9D666,SUN domain-containing protein 1,Sun1,,Acrosome; Nucleus,Yes,Yes,Yes,4.141,-2.911
Q9D666-3,Isoform 3 of SUN domain-containing protein 1,Sun1,,Acrosome; Nucleus,Yes,,,,
Q9D6D8,Probable inactive peptidyl-prolyl cis-trans isomerase-like 6,Ppil6,Enzyme,,Yes,Yes,Yes,1.71,0.352
Q9D6F9,Tubulin beta-4A chain,Tubb4a,,Axoneme,Yes,Yes,Yes,0.619,0.54
Q9D6H2,Intraflagellar transport protein 25 homolog,Hspb11,,,Yes,Yes,Yes,3.735,0.645
Q9D6H5,Palmitoyltransferase ZDHHC4,Zdhhc4,,,Yes,,,,
Q9D6I3,Profilin-4 ,Pfn4,,,,,,,
Q9D6J5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",Ndufb8,Enzyme,Mitochondria,Yes,Yes,Yes,0.019,0.006
Q9D6J6,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",Ndufv2,Enzyme,Mitochondria,Yes,Yes,Yes,0.64,0.123
Q9D6K5,Synaptojanin-2-binding protein,Synj2bp,,Mitochondria,Yes,Yes,Yes,2.092,-0.479
Q9D6K8,FUN14 domain-containing protein 2,Fundc2,,Mitochondria,Yes,Yes,Yes,3.799,-1.156
Q9D6K9,Ceramide synthase 5,Cers5,Transcription regulator,,Yes,,,,
Q9D6L8,Peptidyl-prolyl cis-trans isomerase-like 3,Ppil3,Enzyme,,Yes,,,,
Q9D6M3,Mitochondrial glutamate carrier 1,Slc25a22,Transporter,Mitochondria,Yes,Yes,Yes,3.552,-0.823
Q9D6N5,Dr1-associated corepressor,Drap1,Transcription regulator,Nucleus,Yes,Yes,Yes,2.745,-0.584
Q9D6P8,Calmodulin-like protein 3,Calml3,,,Yes,Yes,Yes,2.702,-1.196
Q9D6R2,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",Idh3a,Enzyme,,Yes,Yes,Yes,0.594,-0.03
Q9D6S7,"Ribosome-recycling factor, mitochondrial",Mrrf,,,Yes,Yes,Yes,2.084,-0.669
Q9D6T0,Nitric oxide synthase-interacting protein,Nosip,,Nucleus,Yes,,,,
Q9D6U8,Protein FAM162A,Fam162a,,Mitochondria,Yes,Yes,Yes,0.345,0.043
Q9D6Y7,Mitochondrial peptide methionine sulfoxide reductase,Msra,Enzyme,Nucleus,Yes,Yes,Yes,3.549,-0.584
Q9D6Y9,"1,4-alpha-glucan-branching enzyme",Gbe1,Enzyme,,Yes,,,,
Q9D6Z0,"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial",Alkbh7,,Mitochondria,Yes,,,,
Q9D6Z1,Nucleolar protein 56,Nop56,,Nucleus,Yes,Yes,Yes,4.812,-2.554
Q9D706,RNA polymerase II-associated protein 3,Rpap3,Enzyme,,Yes,,,,
Q9D708,Protein S100-A16,S100a16,,Nucleus,Yes,,,,
Q9D710,Thioredoxin-related transmembrane protein 2,Tmx2,Enzyme,Mitochondria,Yes,Yes,Yes,3.457,-0.867
Q9D720,Non-structural maintece of chromosomes element 1 homolog,Nsmce1,Transporter,Nucleus,Yes,,,,
Q9D753,Exosome complex component RRP43,Exosc8,Enzyme,Nucleus,Yes,,,,
Q9D771,Proton-activated chloride channel,Pacc1,Ion channel,,Yes,,,,
Q9D773,"39S ribosomal protein L2, mitochondrial",Mrpl2,,Mitochondria,Yes,,,,
Q9D787,RING-type E3 ubiquitin-protein ligase PPIL2,Ppil2,Enzyme,Nucleus,Yes,,,,
Q9D7A6,Signal recognition particle 19 kDa protein,Srp19,,,Yes,,,,
Q9D7A8,Armadillo repeat-containing protein 1,Armc1,,Mitochondria,Yes,Yes,Yes,1.836,-0.465
Q9D7B6,"Isobutyryl-CoA dehydrogenase, mitochondrial",Acad8,Enzyme,,Yes,Yes,Yes,3.21,-1.039
Q9D7B7,Probable glutathione peroxidase 8,Gpx8,Enzyme,,Yes,,,,
Q9D7E4,UPF0449 protein C19orf25 homolog,,,,Yes,,,,
Q9D7G0,Ribose-phosphate pyrophosphokinase 1,Prps1,Kinase,,Yes,Yes,Yes,0.282,0.023
Q9D7H3,RNA 3'-terminal phosphate cyclase,RtcA,Enzyme,Nucleus,Yes,Yes,Yes,4.197,-1.41
Q9D7I5,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,Lhpp,Phosphatase,Nucleus,Yes,,,,
Q9D7J4,"Cytochrome c oxidase assembly protein COX20, mitochondrial",Cox20,,Mitochondria,Yes,Yes,Yes,2.652,-0.463
Q9D7J6,Deoxyribonuclease-1-like 1,Dnase1l1,Enzyme,Nucleus,,Yes,,,
Q9D7J9,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",Echdc3,Enzyme,,Yes,,,,
Q9D7K5,Distal membrane-arm assembly complex protein 2,Dmac2,,Mitochondria,Yes,,,,
Q9D7M1,Glucose-induced degradation protein 8 homolog,Gid8,,Nucleus,Yes,Yes,Yes,1.896,-0.614
Q9D7M8,DNA-directed RNA polymerase II subunit RPB4,Polr2d,Enzyme,Nucleus,Yes,,,,
Q9D7N3,"28S ribosomal protein S9, mitochondrial",Mrps9,,Mitochondria,Yes,,,,
Q9D7N6,"39S ribosomal protein L30, mitochondrial",Mrpl30,,Mitochondria,Yes,,,,
Q9D7N9,Adipocyte plasma membrane-associated protein,Apmap,Enzyme,,Yes,Yes,Yes,4.069,-1.677
Q9D7P6,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",Iscu,,Mitochondria,Yes,Yes,Yes,1.318,-0.905
Q9D7P7,Chloride intracellular channel protein 3 ,Clic3,,Nucleus,,,,,
Q9D7Q1,Chitotriosidase-1,Chit1,Enzyme,,Yes,Yes,Yes,1.646,0.494
Q9D7S7,60S ribosomal protein L22-like 1,Rpl22l1,,,Yes,,,,
Q9D7S9,Charged multivesicular body protein 5,Chmp5,,Nucleus,Yes,,,,
Q9D7V9,N-acylethanolamine-hydrolyzing acid amidase,Naaa,Enzyme,,Yes,,,,
Q9D7W5,Mediator of RNA polymerase II transcription subunit 8,Med8,,Nucleus,Yes,,,,
Q9D7X3,Dual specificity protein phosphatase 3,Dusp3,Phosphatase,Nucleus,Yes,Yes,Yes,0.779,0.116
Q9D7X8,Gamma-glutamylcyclotransferase,Ggct,Enzyme,,Yes,Yes,Yes,0.855,0.083
Q9D7Z3,Nucleolar protein 7,Nol7,,Nucleus,Yes,,,,
Q9D819,Inorganic pyrophosphatase,Ppa1,Enzyme,,Yes,Yes,Yes,5.203,-0.906
Q9D820,Prolyl-tRNA synthetase associated domain-containing protein 1,Prorsd1,,,Yes,,,,
Q9D824,Pre-mRNA 3'-end-processing factor FIP1,Fip1l1,,Nucleus,Yes,,,,
Q9D826,Peroxisomal sarcosine oxidase,Pipox,Enzyme,,Yes,,,,
Q9D832,DnaJ homolog subfamily B member 4,Dnajb4,,,Yes,Yes,Yes,3.504,0.393
Q9D855,Cytochrome b-c1 complex subunit 7,Uqcrb,Enzyme,Mitochondria,Yes,Yes,Yes,1.778,0.16
Q9D864,Actin-related protein 6,Actr6,Transporter,Nucleus,Yes,,,,
Q9D868,Peptidyl-prolyl cis-trans isomerase H,Ppih,Enzyme,Nucleus,,Yes,,,
Q9D868-2,Isoform 2 of Peptidyl-prolyl cis-trans isomerase H,Ppih,Enzyme,Nucleus,Yes,,,,
Q9D880,Mitochondrial import inner membrane translocase subunit TIM50,Timm50,Phosphatase,Mitochondria,Yes,Yes,Yes,1.583,-0.156
Q9D883,Splicing factor U2AF 35 kDa subunit,U2af1,,Nucleus,Yes,Yes,Yes,3.476,-2.009
Q9D892,Inosine triphosphate pyrophosphatase,Itpa,Enzyme,,Yes,Yes,Yes,3.161,-1.777
Q9D898,Actin-related protein 2/3 complex subunit 5-like protein,Arpc5l,,,Yes,Yes,Yes,5.027,-1.403
Q9D8B3,Charged multivesicular body protein 4b,Chmp4b,,Nucleus,Yes,Yes,Yes,3.204,-0.921
Q9D8B4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,Ndufa11,Enzyme,Mitochondria,Yes,Yes,Yes,0.519,-0.113
Q9D8C3-2,Isoform 2 of Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,Alg13,,,Yes,,,,
Q9D8C6,Mediator of RNA polymerase II transcription subunit 11,Med11,,Nucleus,Yes,,,,
Q9D8E6,60S ribosomal protein L4,Rpl4,Enzyme,Nucleus,Yes,Yes,Yes,4.512,-1.446
Q9D8H7,"Metalloendopeptidase OMA1, mitochondrial",Oma1,Peptidase,Mitochondria,Yes,,,,
Q9D8K3,Derlin-3,Derl3,,,Yes,,,,
Q9D8L5,Coiled-coil domain-containing protein 91,Ccdc91,,,Yes,,,,
Q9D8M4,60S ribosomal protein L7-like 1,Rpl7l1,Transcription regulator,,Yes,,,,
Q9D8M7,PHD finger protein 10,Phf10,,Nucleus,Yes,,,,
Q9D8N0,Elongation factor 1-gamma,Eef1g,Translation regulator,Nucleus,Yes,Yes,Yes,1.721,-0.338
Q9D8N2,DENN domain-containing protein 10,Dennd10,,,Yes,,,,
Q9D8P4,"39S ribosomal protein L17, mitochondrial",Mrpl17,,Mitochondria,Yes,,,,
Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,Arfgap3,Transporter,,Yes,,,,
Q9D8S4,"Oligoribonuclease, mitochondrial",Rexo2,Enzyme,Nucleus; Mitochondria,Yes,Yes,Yes,0.54,0.123
Q9D8S9,BolA-like protein 1,Bola1,,,Yes,Yes,Yes,2.279,-0.809
Q9D8T0,Protein FAM3A,Fam3a,,,Yes,,,,
Q9D8T4,Golgi apparatus membrane protein TVP23 homolog B,Tvp23b,,,Yes,,,,
Q9D8T7,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",Slirp,,Nucleus; Mitochondria; Flagellum,Yes,,,,
Q9D8U8,Sorting nexin-5,Snx5,Transporter,,Yes,Yes,Yes,4.846,-1.944
Q9D8V0,Minor histocompatibility antigen H13,Hm13,Peptidase,,Yes,Yes,Yes,5.443,-2.11
Q9D8V0-4,Isoform 4 of Minor histocompatibility antigen H13,Hm13,Peptidase,,Yes,,,,
Q9D8V7,Signal peptidase complex catalytic subunit SEC11C,Sec11c,Peptidase,,Yes,,,,
Q9D8W5,26S proteasome non-ATPase regulatory subunit 12,Psmd12,,,Yes,Yes,Yes,0.247,0.05
Q9D8W7,OCIA domain-containing protein 2,Ociad2,,Mitochondria,Yes,,,,
Q9D8X1,Copper homeostasis protein cutC homolog,Cutc,,Nucleus,Yes,Yes,Yes,0.854,0.183
Q9D8X2,Coiled-coil domain-containing protein 124,Ccdc124,,,Yes,,,,
Q9D8Y0,EF-hand domain-containing protein D2,Efhd2,,,Yes,,,,
Q9D8Y1,Transmembrane protein 126A,Tmem126a,,Mitochondria,Yes,Yes,Yes,1.843,-0.199
Q9D8Y7,Tumor necrosis factor alpha-induced protein 8-like protein 2,Tnfaip8l2,,,Yes,,,,
Q9D8Z1,Activating signal cointegrator 1 complex subunit 1,Ascc1,Transcription regulator,Nucleus,Yes,,,,
Q9D902,General transcription factor IIE subunit 2,Gtf2e2,Transcription regulator,Nucleus,Yes,,,,
Q9D903,Probable rRNA-processing protein EBP2,Ebna1bp2,,Nucleus,Yes,,,,
Q9D906,Ubiquitin-like modifier-activating enzyme ATG7,Atg7,Enzyme,Axoneme,Yes,,,,
Q9D924,"Iron-sulfur cluster assembly 1 homolog, mitochondrial",Isca1,,,Yes,Yes,Yes,0.974,-0.132
Q9D925,Lysozyme-like protein 4,Lyzl4,Enzyme,Acrosome; Flagellum,Yes,Yes,Yes,1.333,0.165
Q9D938,Transmembrane protein 160,Tmem160,,,Yes,,,,
Q9D939,Sulfotransferase 1C2,Sult1c2,Enzyme,,Yes,,,,
Q9D958,Signal peptidase complex subunit 1,Spcs1,Peptidase,,Yes,Yes,Yes,2.62,-1
Q9D964,"Glycine amidinotransferase, mitochondrial",Gatm,Enzyme,Mitochondria,Yes,,,,
Q9D967,Magnesium-dependent phosphatase 1,Mdp1,Phosphatase,,Yes,Yes,Yes,2.416,-1.073
Q9D994,WD repeat-containing protein 38,Wdr38,,,Yes,Yes,Yes,0.064,0.036
Q9D9B7,Proline-rich protein 30,Prr30,,,Yes,Yes,Yes,2.11,0.381
Q9D9D3,TBC1 domain family member 21,Tbc1d21,,Acrosome; Annulus,Yes,Yes,Yes,3.356,0.386
Q9D9D8,Dual specificity phosphatase 21,Dusp21,Phosphatase,Nucleus; Mitochondria,Yes,Yes,Yes,2.82,0.539
Q9D9D9,Uncharacterized protein C1orf189 homolog,,,,Yes,Yes,Yes,2.189,0.42
Q9D9G2,Phosphatidylethanolamine-binding protein 4,Pebp4,,,Yes,Yes,Yes,2.096,0.32
Q9D9H8,UPF0565 protein C2orf69 homolog,,,,Yes,Yes,Yes,3.004,-0.928
Q9D9I1,Testis-expressed protein 43,Tex43,,,Yes,Yes,Yes,2.061,0.44
Q9D9I4,TBC1 domain family member 20,Tbc1d20,,,Yes,Yes,Yes,1.414,0.412
Q9D9J2,Testis-expressed protein 33,Tex33,,,Yes,Yes,Yes,3.267,0.71
Q9D9J3,Actin-related protein T1,Actrt1,,Nucleus,Yes,Yes,Yes,2.486,0.332
Q9D9J7,Izumo sperm-egg fusion protein 1,Izumo1,,Acrosome,Yes,Yes,Yes,0.113,0.026
Q9D9J8,BPI fold-containing family A member 3,Bpifa3,,,Yes,Yes,Yes,4.04,0.865
Q9D9K8,IQ domain-containing protein F1,Iqcf1,,Acrosome,Yes,Yes,Yes,1.167,0.473
Q9D9L5,Actin-related protein T2,Actrt2,,,Yes,Yes,Yes,1.465,0.18
Q9D9M0,Serine protease 52,Prss52,,,Yes,Yes,Yes,1.218,0.189
Q9D9M5,Pyridoxal phosphate phosphatase PHOSPHO2 ,Phospho2,,,,,,,
Q9D9N5,Calcium and integrin-binding family member 4,Cib4,,,,Yes,,,
Q9D9Q0,Leucine-rich repeat-containing protein 69,Lrrc69,,,,Yes,,,
Q9D9R3,Spermatogenesis-associated protein 9,Spata9,,,Yes,Yes,Yes,1.08,0.227
Q9D9R9,Protein FAM186A,FAM186A,,,,Yes,,,
Q9D9S2,Transmembrane protein 225,Tmem225,,Acrosome,Yes,Yes,Yes,1.548,0.984
Q9D9T0,DPY30 domain-containing protein 1,Dydc1,,,Yes,Yes,Yes,3.493,0.476
Q9D9T6,Spermatogenesis-associated protein 3,Spata3,,,Yes,,,,
Q9D9T6-2,Isoform 2 of Spermatogenesis-associated protein 3,Spata3,,,Yes,,,,
Q9D9T8,EF-hand domain-containing protein 1,Efhc1,,Axoneme,Yes,Yes,Yes,2.586,0.345
Q9D9V2,Equatorin,Eqtn,,Acrosome; Nucleus,Yes,Yes,Yes,1.749,0.24
Q9D9V3,Ethylmalonyl-CoA decarboxylase,Echdc1,Enzyme,,Yes,Yes,Yes,0.511,0.063
Q9D9V4,Radial spoke head protein 9 homolog,Rsph9,,Axoneme,Yes,Yes,Yes,2.743,0.273
Q9D9W0,Speriolin-like protein,Spatc1l,,,Yes,Yes,Yes,3.677,1.35
Q9D9W1-2,Isoform 2 of Protein pitchfork,Pifo,,Nucleus; Axoneme,,Yes,,,
Q9D9X8,Sperm acrosome membrane-associated protein 3,Spaca3,,Acrosome; Flagellum,Yes,Yes,Yes,0.503,0.079
Q9D9Z5,DET1- and DDB1-associated protein 1,Dda1,,,Yes,,,,
Q9D9Z7,Histone H2B subacrosomal variant,Subh2bv,,Nucleus,Yes,Yes,Yes,1.398,0.586
Q9DA01,Eppin,Eppin,,,Yes,Yes,Yes,0.191,0.084
Q9DA03,Complex III assembly factor LYRM7,Lyrm7,,Mitochondria,Yes,Yes,Yes,1.288,0.265
Q9DA04,Transmembrane protein 89,Tmem89,,,Yes,Yes,Yes,1.614,0.243
Q9DA08,SAGA-associated factor 29,Sgf29,,Nucleus,Yes,,,,
Q9DA11,Lysozyme-like protein 6,Lyzl6,Enzyme,Mid-piece,Yes,Yes,Yes,0.275,0.035
Q9DA15,Testicular haploid expressed gene protein-like,Thegl,,,Yes,Yes,Yes,2.659,0.484
Q9DA16,Izumo sperm-egg fusion protein 2,Izumo2,,,Yes,Yes,Yes,2.117,0.477
Q9DA17,Testis-specific gene 13 protein,Tsga13,,,Yes,Yes,Yes,3.308,0.845
Q9DA32,SUN domain-containing protein 5,Sun5,,Nucleus,Yes,Yes,Yes,1.502,0.461
Q9DA42,Uncharacterized protein C20orf85 homolog,,,,Yes,Yes,Yes,0.931,0.418
Q9DA48,Sperm acrosome membrane-associated protein 1,Spaca1,,Acrosome,Yes,Yes,Yes,1.193,0.137
Q9DA60,Testis-expressed protein 44,Tex44,,,Yes,Yes,Yes,2.635,0.482
Q9DA64,CMT1A duplicated region transcript 4 protein homolog,Cdrt4,,,Yes,Yes,Yes,2.781,1.255
Q9DA77,Testis-expressed protein 29,Tex29,,,Yes,Yes,Yes,0.065,0.021
Q9DA79,Dipeptidase 3,Dpep3,Peptidase,,Yes,Yes,Yes,1.591,-0.25
Q9DA80,Radial spoke head protein 3 homolog B,Rsph3b,,Axoneme,Yes,Yes,Yes,3.319,0.437
Q9DAA3,Uncharacterized protein C4orf36 homolog,,,,,Yes,,,
Q9DAA4,Probable inactive serine protease 37,Prss37,Peptidase,Acrosome,Yes,Yes,Yes,2.108,0.793
Q9DAA6,Exosome complex component CSL4,Exosc1,Enzyme,Nucleus,Yes,,,,
Q9DAA7,Uncharacterized protein C1orf100 homolog,,,,Yes,Yes,Yes,1.736,0.552
Q9DAC0,CKLF-like MARVEL transmembrane domain-containing protein 2B,Cmtm2b,Cytokine,,Yes,Yes,Yes,1.917,0.271
Q9DAD0,Protein C1orf194 homolog,,,,Yes,Yes,Yes,2.475,0.345
Q9DAD6,Profilin-3,Pfn3,,Nucleus,Yes,Yes,Yes,0.455,0.182
Q9DAE3,Late cornified envelope-like proline-rich protein 1,Lelp1,,,Yes,Yes,Yes,1.741,0.733
Q9DAF3,Protein DDI1 homolog 1,Ddi1,,,Yes,Yes,Yes,3.139,0.874
Q9DAF8,Uncharacterized protein C4orf51 homolog,,,,,Yes,,,
Q9DAG4,Testis-expressed sequence 37 protein,Tex37,,Nucleus,Yes,Yes,Yes,2.452,0.461
Q9DAG5,Protein STPG4,Stpg4,,Nucleus,Yes,Yes,Yes,3.331,0.434
Q9DAG6,GLIPR1-like protein 1,Glipr1l1,,Acrosome,Yes,Yes,Yes,2.614,0.507
Q9DAI2,Intraflagellar transport protein 22 homolog,Ift22,,,Yes,Yes,Yes,0.334,0.267
Q9DAI9,MORN repeat-containing protein 5,Morn5,,,Yes,Yes,Yes,1.97,0.438
Q9DAJ2,Tektin-1,Tekt1,,,Yes,Yes,Yes,1.671,0.238
Q9DAJ4,WD repeat domain-containing protein 83,Wdr83,,Nucleus,Yes,,,,
Q9DAJ5,Dynein light chain roadblock-type 2,Dynlrb2,,,Yes,Yes,Yes,2.511,0.441
Q9DAK2,Parkin coregulated gene protein homolog,Pacrg,,Mid-piece,Yes,Yes,Yes,1.451,0.328
Q9DAK8,Leucine-rich repeat-containing protein 51,Lrrc51,,,Yes,Yes,Yes,2.681,0.393
Q9DAK9,14 kDa phosphohistidine phosphatase,Phpt1,Phosphatase,,Yes,Yes,Yes,1.733,0.294
Q9DAL0,Small integral membrane protein 23,Smim23,,,,Yes,,,
Q9DAL7,IQ domain-containing protein F5,Iqcf5,,,Yes,Yes,Yes,1.971,0.421
Q9DAM1,Leucine-rich repeat-containing protein 34,Lrrc34,,Nucleus,Yes,Yes,Yes,3.103,0.831
Q9DAM2,EF-hand calcium-binding domain-containing protein 9,Efcab9,,Flagellum,Yes,Yes,Yes,2.649,0.884
Q9DAM3,Heat shock protein beta-9,Hspb9,,Nucleus,Yes,Yes,Yes,0.74,-0.052
Q9DAM5,Mitochondrial thiamine pyrophosphate carrier,Slc25a19,Transporter,Mitochondria,Yes,Yes,Yes,0.695,0.115
Q9DAM9,Fibronectin type 3 and ankyrin repeat domains 1 protein,Fank1,Transcription regulator,Nucleus,Yes,Yes,Yes,3.016,0.606
Q9DAN1,Protein disulfide-isomerase-like protein of the testis,Pdilt,Enzyme,,Yes,Yes,Yes,3.945,1.333
Q9DAN8,Cystatin-12,Cst12,,,Yes,Yes,Yes,4.196,-1.525
Q9DAN9,Uncharacterized protein CFAP97D1,Cfap97d1,,,Yes,Yes,Yes,2.446,0.498
Q9DAP0,Leucine-rich repeat-containing protein 46,Lrrc46,,,,Yes,,,
Q9DAQ4,Uncharacterized protein C2orf81 homolog,,,,Yes,Yes,Yes,2.021,0.94
Q9DAQ5,Uncharacterized protein C17orf98 homolog,,,,Yes,Yes,Yes,2.25,0.626
Q9DAQ9,"Spermatogenesis-associated protein 19, mitochondrial",Spata19,,Mitochondria,Yes,Yes,Yes,2.859,0.507
Q9DAR0,Uncharacterized protein C5orf49 homolog,,,,Yes,Yes,Yes,2.417,0.813
Q9DAR1,CKLF-like MARVEL transmembrane domain-containing protein 2A ,Cmtm2a,,Nucleus,,,,,
Q9DAR7,m7GpppX diphosphatase,Dcps,Enzyme,Nucleus,Yes,,,,
Q9DAS2,Protein FAM166C,Fam166c,,,Yes,Yes,Yes,2.403,0.347
Q9DAS9,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,Gng12,Enzyme,,Yes,Yes,Yes,3.393,-1.286
Q9DAT2,MRG/MORF4L-binding protein,Mrgbp,,Nucleus,Yes,,,,
Q9DAT5,Mitochondrial tRNA-specific 2-thiouridylase 1,Trmu,Enzyme,,Yes,,,,
Q9DAU1,Protein canopy homolog 3,Cnpy3,,,Yes,,,,
Q9DAU9,Zinc finger protein 654,Znf654,,Nucleus,Yes,,,,
Q9DAV9,Trimeric intracellular cation channel type B,Tmem38b,Ion channel,,Yes,Yes,Yes,0.417,0.179
Q9DAW6,U4/U6 small nuclear ribonucleoprotein Prp4,Prpf4,,Nucleus,Yes,,,,
Q9DAW9,Calponin-3,Cnn3,,,Yes,,,,
Q9DB00,GON-4-like protein,Gon4l,Transcription regulator,Nucleus,Yes,,,,
Q9DB05,Alpha-soluble NSF attachment protein,Napa,Transporter,,Yes,Yes,Yes,4.285,-0.485
Q9DB07,Intraflagellar transport protein 46 homolog,Ift46,,,Yes,,,,
Q9DB10,"Essential MCU regulator, mitochondrial",Smdt1,,Mitochondria,Yes,,,,
Q9DB15,"39S ribosomal protein L12, mitochondrial",Mrpl12,,Mitochondria,Yes,Yes,Yes,2.788,-1.105
Q9DB16,Calcium-binding protein 39-like,Cab39l,Kinase,,Yes,,,,
Q9DB20,"ATP synthase subunit O, mitochondrial",Atp5po,Transporter,Mitochondria,Yes,Yes,Yes,0.753,-0.106
Q9DB25,Dolichyl-phosphate beta-glucosyltransferase,Alg5,Enzyme,,Yes,Yes,Yes,3.082,-0.989
Q9DB26,Phytanoyl-CoA dioxygenase domain-containing protein 1,Phyhd1,,,Yes,,,,
Q9DB27,Maligt T-cell-amplified sequence 1,Mcts1,,,Yes,,,,
Q9DB29,Isoamyl acetate-hydrolyzing esterase 1 homolog,Iah1,,,Yes,Yes,Yes,5.668,-2.078
Q9DB30,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",Phkg2,Kinase,,Yes,Yes,Yes,2.219,0.414
Q9DB32,Hydroxyacylglutathione hydrolase-like protein,Haghl,Enzyme,,,Yes,,,
Q9DB34,Charged multivesicular body protein 2a,Chmp2a,,,Yes,,,,
Q9DB40,Mediator of RNA polymerase II transcription subunit 27,Med27,Transcription regulator,Nucleus,Yes,,,,
Q9DB43,Zinc finger protein-like 1,Zfpl1,,,Yes,Yes,Yes,3.734,-1.36
Q9DB50,AP-1 complex subunit sigma-2,Ap1s2,Transporter,,Yes,,,,
Q9DB60,Prostamide/prostaglandin F synthase,Prxl2b,Enzyme,,Yes,,,,
Q9DB70,FUN14 domain-containing protein 1,Fundc1,,Mitochondria,Yes,,,,
Q9DB73,NADH-cytochrome b5 reductase 1,Cyb5r1,Enzyme,,Yes,Yes,Yes,1.528,-0.13
Q9DB77,"Cytochrome b-c1 complex subunit 2, mitochondrial",Uqcrc2,Enzyme,Mitochondria,Yes,Yes,Yes,0.399,0.033
Q9DB85,Ribosomal RNA-processing protein 8,Rrp8,Enzyme,Nucleus,Yes,,,,
Q9DB91,Mediator of RNA polymerase II transcription subunit 29,Med29,,Nucleus,Yes,,,,
Q9DB96,Neuroguidin,Ngdn,,Nucleus,Yes,,,,
Q9DBA9,General transcription factor IIH subunit 1,Gtf2h1,Transcription regulator,Nucleus,Yes,,,,
Q9DBB8,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase",Dhdh,Enzyme,,Yes,,,,
Q9DBC0,"Protein adenylyltransferase SelO, mitochondrial",Selenoo,Enzyme,,Yes,,,,
Q9DBC3,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,Cmtr1,Enzyme,Nucleus,Yes,,,,
Q9DBC7,cAMP-dependent protein kinase type I-alpha regulatory subunit,Prkar1a,Kinase,Axoneme,Yes,Yes,Yes,1.6,0.14
Q9DBD5,"Proline-, glutamic acid- and leucine-rich protein 1",Pelp1,,Nucleus,Yes,,,,
Q9DBE0,Cysteine sulfinic acid decarboxylase,Csad,Enzyme,,Yes,,,,
Q9DBE8,"Alpha-1,3/1,6-mannosyltransferase ALG2",Alg2,Enzyme,Nucleus,Yes,Yes,Yes,4.778,-1.812
Q9DBE9,pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3,Ftsj3,Enzyme,Nucleus,Yes,,,,
Q9DBF1,Alpha-aminoadipic semialdehyde dehydrogenase,Aldh7a1,Enzyme,Nucleus,Yes,Yes,Yes,4.009,-1.007
Q9DBF7,Pre-mRNA-splicing factor CWC25 homolog,Cwc25,,Nucleus,Yes,,,,
Q9DBG1,"Sterol 26-hydroxylase, mitochondrial",Cyp27a1,Enzyme,Mitochondria,Yes,,,,
Q9DBG3,AP-2 complex subunit beta,Ap2b1,,,Yes,Yes,Yes,4.326,-1.815
Q9DBG5,Perilipin-3,Plin3,,,Yes,Yes,Yes,0.155,0.061
Q9DBG6,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,Rpn2,Enzyme,,Yes,Yes,Yes,4.142,-1.362
Q9DBG7,Signal recognition particle receptor subunit alpha,Srpra,,,Yes,Yes,Yes,2.641,-0.779
Q9DBH0,NEDD4-like E3 ubiquitin-protein ligase WWP2,Wwp2,Enzyme,Nucleus,Yes,Yes,Yes,0.44,-0.389
Q9DBH5,Vesicular integral-membrane protein VIP36,Lman2,Transporter,,Yes,Yes,Yes,4.534,-1.512
Q9DBJ1,Phosphoglycerate mutase 1,Pgam1,Phosphatase,Nucleus,Yes,Yes,Yes,1.337,-0.245
Q9DBL1,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",Acadsb,Enzyme,Mitochondria,Yes,Yes,Yes,3.932,-0.918
Q9DBL2,Ganglioside-induced differentiation-associated protein 2,Gdap2,,,Yes,,,,
Q9DBL7,Bifunctional coenzyme A synthase,Coasy,Kinase,Mitochondria,Yes,Yes,Yes,0.7,0.084
Q9DBM1,G patch domain-containing protein 1,Gpatch1,,Nucleus,Yes,,,,
Q9DBM2,Peroxisomal bifunctional enzyme,Ehhadh,Enzyme,,Yes,Yes,Yes,3.172,-0.904
Q9DBN4,Putative monooxygenase p33MONOX,P33monox,,,Yes,,,,
Q9DBN5,"Lon protease homolog 2, peroxisomal",Lonp2,Peptidase,Nucleus,Yes,,,,
Q9DBP5,UMP-CMP kinase,Cmpk1,Kinase,Nucleus,Yes,Yes,Yes,2.066,-0.236
